"Code","Year","Estimate","Low","High"
"DJI",2023,45.04207,NA,NA
"BLZ",2013,0.08485,0.08485,0.08485
"MMR",2005,34.40254,24.16967,51.44845
"CRI",2008,0.62161,0.62161,0.62161
"SSD",2017,276.57459,195.7826,379.05341
"GEO",2019,0,0,0
"SOM",2009,38.03983,27.65814,51.27628
"ERI",2013,16.03879,10.17739,22.6091
"PAN",2013,0.28873,0.27741,0.30824
"TCD",2001,275.38042,173.48691,413.21236
"GLOBAL",2008,69.18469,64.337,75.07003
"SEN",2023,66.34674,38.59544,106.09573
"ZWE",2009,73.8194,29.01397,128.51058
"SYR",2007,0,0,0
"SEN",2010,60.39645,42.44527,80.08622
"CRI",2009,0.16636,0.16636,0.16636
"YEM",2015,26.02067,17.83097,38.25112
"VUT",2005,121.57905,78.50612,185.22965
"GMB",2010,232.81078,172.65701,301.97722
"EUR",2017,0,0,0
"MYS",2012,3.08635,NA,NA
"LBR",2006,397.90437,270.78875,566.06498
"MRT",2016,94.53059,40.6064,178.27548
"COL",2006,17.502,13.48014,21.67744
"PER",2021,1.7854,1.46549,2.12528
"CAF",2016,335.41452,209.69987,504.20432
"AFG",2022,9.18719,7.0877,11.67958
"GLOBAL",2009,69.72696,64.39125,76.38245
"SOM",2004,119.74295,85.88937,162.45514
"SDN",2016,50.82953,28.72726,83.90559
"MWI",2005,371.07262,294.60095,462.70799
"MMR",2020,1.77837,1.43934,2.14076
"VEN",2011,3.67069,3.27741,4.25531
"BFA",2021,378.578,251.28212,547.86085
"LBR",2005,405.70958,256.98097,611.28524
"KOR",2005,0.4087,0.4087,0.4087
"TJK",2005,0.99833,0.99833,0.99833
"SLB",2023,237.03512,205.73828,278.52252
"ECU",2005,2.17291,2.17291,2.17291
"BTN",2000,13.43739,13.43739,13.43739
"CRI",2007,0.79774,0.79774,0.79774
"PRK",2009,1.50446,1.50446,1.50446
"BEN",2019,401.11136,315.23269,505.76242
"SSD",2011,286.99443,219.59895,369.47548
"GEO",2018,0,0,0
"CHN",2020,0,0,0
"TLS",2022,0,0,0
"ARG",2020,0,0,0
"AFG",2017,28.99223,22.05684,37.09224
"KOR",2023,0.18275,0.18275,0.18275
"KEN",2003,224.04871,175.26371,281.2938
"SLE",2001,452.77925,288.94195,678.24623
"PER",2010,3.31299,2.89307,3.78114
"TJK",2011,0.02487,0.02487,0.02487
"BRA",2009,8.43394,8.10281,8.99376
"IRQ",2017,0,0,0
"SEN",2004,129.89062,28.09641,249.32451
"ERI",2019,61.84259,39.6924,85.73951
"GIN",2019,339.55704,228.39051,489.94709
"ARG",2005,1.17807,1.17807,1.17807
"STP",2013,47.85474,NA,NA
